A valid repository for "Hatchelorette" could not be found in the following locations:
Hatchelorette
C:\Users\Jeff/.cookiecutters/Hatchelorette
         336164 function calls (327325 primitive calls) in 2.969 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      704    0.000    0.000    0.062    0.000 <frozen importlib._bootstrap>:632(cached)
      361    0.000    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
     9521    0.016    0.000    0.062    0.000 _parser.py:167(__getitem__)
      126    0.016    0.000    0.062    0.000 _compiler.py:514(_compile_info)
       19    0.000    0.000    0.062    0.003 enum.py:1753(convert_class)
        4    0.000    0.000    0.062    0.016 parser.py:1(<module>)
        1    0.000    0.000    0.062    0.062 environment.py:144(Environment)
        1    0.000    0.000    0.062    0.062 converters.py:1(<module>)
        1    0.000    0.000    0.062    0.062 validators.py:1(<module>)
        1    0.000    0.000    0.062    0.062 feedparser.py:1(<module>)
        1    0.000    0.000    0.062    0.062 _policybase.py:1(<module>)
        1    0.000    0.000    0.062    0.062 ssl.py:1(<module>)
      450    0.000    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
     2674    0.000    0.000    0.047    0.000 :0(hasattr)
     2140    0.031    0.000    0.047    0.000 _parser.py:175(append)
        1    0.000    0.000    0.047    0.047 typing.py:1(<module>)
      512    0.000    0.000    0.047    0.000 typing.py:1307(__init__)
     1591    0.047    0.000    0.047    0.000 typing.py:1437(__eq__)
      423    0.047    0.000    0.047    0.000 typing.py:1358(__getattr__)
        2    0.000    0.000    0.047    0.023 _compat.py:1(<module>)
        2    0.000    0.000    0.047    0.023 nodes.py:1(<module>)
        1    0.000    0.000    0.047    0.047 constructor.py:1(<module>)
        1    0.000    0.000    0.047    0.047 constructor.py:171(SafeConstructor)
        1    0.000    0.000    0.047    0.047 check.py:1(<module>)
        1    0.000    0.000    0.047    0.047 helpers.py:1(<module>)
        1    0.000    0.000    0.047    0.047 bccache.py:1(<module>)
        1    0.000    0.000    0.047    0.047 theme.py:1(<module>)
        1    0.000    0.000    0.047    0.047 configparser.py:1(<module>)
        1    0.000    0.000    0.047    0.047 align.py:1(<module>)
        1    0.000    0.000    0.047    0.047 constrain.py:1(<module>)
        1    0.000    0.000    0.047    0.047 jupyter.py:1(<module>)
        1    0.000    0.000    0.047    0.047 segment.py:1(<module>)
       15    0.000    0.000    0.047    0.003 _make.py:1415(wrap)
        1    0.000    0.000    0.047    0.047 socket.py:1(<module>)
        2    0.000    0.000    0.047    0.023 request.py:1(<module>)
        3    0.000    0.000    0.047    0.016 response.py:1(<module>)
        1    0.000    0.000    0.047    0.047 connectionpool.py:1(<module>)
        1    0.000    0.000    0.047    0.047 _request_methods.py:1(<module>)
        2    0.000    0.000    0.047    0.023 cookies.py:1(<module>)
     1551    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     2384    0.031    0.000    0.031    0.000 :0(release_lock)
     3879    0.031    0.000    0.031    0.000 :0(get)
      344    0.031    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      388    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap>:420(__exit__)
      446    0.016    0.000    0.031    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.031    0.031 decoder.py:1(<module>)
      533    0.031    0.000    0.031    0.000 :0(setdefault)
     1617    0.031    0.000    0.031    0.000 _parser.py:112(__init__)
     3446    0.031    0.000    0.031    0.000 _parser.py:163(__len__)
 1581/331    0.031    0.000    0.031    0.000 _parser.py:177(getwidth)
      638    0.031    0.000    0.031    0.000 _compiler.py:241(_optimize_charset)
      638    0.000    0.000    0.031    0.000 _compiler.py:214(_compile_charset)
        1    0.000    0.000    0.031    0.031 inspect.py:1(<module>)
       35    0.000    0.000    0.031    0.001 enum.py:498(__new__)
       94    0.016    0.000    0.031    0.000 enum.py:251(__set_name__)
     3668    0.031    0.000    0.031    0.000 typing.py:1294(_is_dunder)
      652    0.000    0.000    0.031    0.000 typing.py:789(<genexpr>)
        1    0.000    0.000    0.031    0.031 compiler.py:1(<module>)
        1    0.000    0.000    0.031    0.031 lexer.py:1(<module>)
        2    0.000    0.000    0.031    0.016 hooks.py:1(<module>)
        1    0.000    0.000    0.031    0.031 default_styles.py:1(<module>)
        1    0.000    0.000    0.031    0.031 configparser.py:590(RawConfigParser)
        1    0.000    0.000    0.031    0.031 segment.py:63(Segment)
        6    0.000    0.000    0.031    0.005 dataclasses.py:1277(dataclass)
        6    0.000    0.000    0.031    0.005 dataclasses.py:1294(wrap)
        6    0.000    0.000    0.031    0.005 dataclasses.py:929(_process_class)
       53    0.000    0.000    0.031    0.001 dataclasses.py:768(_get_field)
       58    0.031    0.001    0.031    0.001 dataclasses.py:699(_is_initvar)
        1    0.000    0.000    0.031    0.031 header.py:1(<module>)
        2    0.000    0.000    0.031    0.016 connection.py:1(<module>)
        1    0.000    0.000    0.031    0.031 cd.py:1(<module>)
    15982    0.016    0.000    0.016    0.000 :0(startswith)
     5733    0.016    0.000    0.016    0.000 :0(getattr)
      369    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      788    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
    15101    0.016    0.000    0.016    0.000 :0(endswith)
     3720    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      362    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      362    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
     1084    0.016    0.000    0.016    0.000 :0(fspath)
      390    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      390    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:177(_path_isabs)
      388    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:416(__enter__)
      446    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:304(acquire)
      446    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:162(__enter__)
      446    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:124(setdefault)
      446    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:74(__new__)
     1190    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap>:645(parent)
      688    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
     1028    0.000    0.000    0.016    0.000 :0(max)
     2064    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      344    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
      344    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      724    0.016    0.000    0.016    0.000 :0(extend)
      387    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:445(cb)
        2    0.000    0.000    0.016    0.008 scanner.py:1(<module>)
      450    0.000    0.000    0.016    0.000 enum.py:1589(_get_value)
    15122    0.016    0.000    0.016    0.000 _parser.py:239(__next)
     2198    0.016    0.000    0.016    0.000 _parser.py:292(tell)
      204    0.000    0.000    0.016    0.000 _parser.py:85(opengroup)
      663    0.000    0.000    0.016    0.000 _parser.py:82(groups)
      312    0.000    0.000    0.016    0.000 _parser.py:371(_escape)
      709    0.000    0.000    0.016    0.000 _compiler.py:401(_simple)
      338    0.016    0.000    0.016    0.000 :0(items)
      124    0.000    0.000    0.016    0.000 enum.py:1607(__and__)
        1    0.000    0.000    0.016    0.016 encoder.py:1(<module>)
      470    0.000    0.000    0.016    0.000 enum.py:58(_is_sunder)
      101    0.016    0.000    0.016    0.000 enum.py:1059(_add_member_)
       47    0.000    0.000    0.016    0.000 __init__.py:358(namedtuple)
       73    0.016    0.000    0.016    0.000 :0(eval)
        1    0.000    0.000    0.016    0.016 tokenize.py:1(<module>)
       84    0.000    0.000    0.016    0.000 <frozen abc>:105(__new__)
       22    0.000    0.000    0.016    0.001 typing.py:2054(__new__)
    59/38    0.016    0.000    0.016    0.000 :0(__init_subclass__)
     1056    0.016    0.000    0.016    0.000 typing.py:164(_type_convert)
       38    0.000    0.000    0.016    0.000 typing.py:1623(__init__)
       21    0.000    0.000    0.016    0.001 typing.py:2199(__init_subclass__)
        1    0.000    0.000    0.016    0.016 typing.py:2968(<generic parameters of SupportsRound>)
      361    0.000    0.000    0.016    0.000 typing.py:1639(<genexpr>)
        1    0.000    0.000    0.016    0.016 typing.py:3573(TextIO)
       84    0.016    0.000    0.016    0.000 typing.py:1719(__getitem__)
  469/426    0.016    0.000    0.016    0.000 typing.py:1443(__hash__)
        1    0.000    0.000    0.016    0.016 types.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _winconsole.py:1(<module>)
    17/16    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap_external>:1318(create_module)
    17/16    0.000    0.000    0.016    0.001 :0(create_dynamic)
       17    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap_external>:1326(exec_module)
       17    0.016    0.001    0.016    0.001 :0(exec_dynamic)
       57    0.016    0.000    0.016    0.000 _parser.py:303(checkgroupname)
        1    0.000    0.000    0.016    0.016 __init__.py:477(StrFormatStyle)
        8    0.000    0.000    0.016    0.002 resolver.py:25(add_implicit_resolver)
        1    0.000    0.000    0.016    0.016 universaldetector.py:1(<module>)
        1    0.000    0.000    0.016    0.016 mbcsgroupprober.py:1(<module>)
        1    0.000    0.000    0.016    0.016 big5prober.py:1(<module>)
       47    0.000    0.000    0.016    0.000 typing.py:1748(__getitem__)
      139    0.000    0.000    0.016    0.000 typing.py:1757(<genexpr>)
       22    0.000    0.000    0.016    0.001 typing.py:2979(_make_nmtuple)
        1    0.000    0.000    0.016    0.016 hashlib.py:1(<module>)
      667    0.016    0.000    0.016    0.000 typing.py:1765(__eq__)
        1    0.000    0.000    0.016    0.016 idtracking.py:1(<module>)
        1    0.000    0.000    0.016    0.016 idtracking.py:33(Symbols)
        1    0.016    0.016    0.016    0.016 compiler.py:300(CodeGenerator)
        1    0.000    0.000    0.016    0.016 lexer.py:471(Lexer)
        1    0.000    0.000    0.016    0.016 loaders.py:1(<module>)
        1    0.000    0.000    0.016    0.016 loaders.py:505(PrefixLoader)
        1    0.000    0.000    0.016    0.016 subprocess.py:1(<module>)
        1    0.000    0.000    0.016    0.016 style.py:1(<module>)
        1    0.000    0.000    0.016    0.016 color.py:1(<module>)
        1    0.000    0.000    0.016    0.016 color.py:302(Color)
      142    0.016    0.000    0.016    0.000 style.py:122(__init__)
        1    0.000    0.000    0.016    0.016 configparser.py:396(BasicInterpolation)
        1    0.000    0.000    0.016    0.016 _emoji_replace.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _wrap.py:1(<module>)
        1    0.000    0.000    0.016    0.016 containers.py:1(<module>)
        1    0.000    0.000    0.016    0.016 containers.py:66(Lines)
        1    0.000    0.000    0.016    0.016 text.py:118(Text)
        1    0.000    0.000    0.016    0.016 platform.py:1(<module>)
        2    0.000    0.000    0.016    0.008 platform.py:1232(python_implementation)
        2    0.000    0.000    0.016    0.008 platform.py:1128(_sys_version)
        1    0.000    0.000    0.016    0.016 _make.py:1(<module>)
       52    0.016    0.000    0.016    0.000 _make.py:2354(_default_init_alias_for)
        1    0.000    0.000    0.016    0.016 _make.py:2593(_CountingAttr)
       10    0.000    0.000    0.016    0.002 _make.py:2621(<genexpr>)
