A valid repository for "Hatchelorette" could not be found in the following locations:
Hatchelorette
C:\Users\Jeff/.cookiecutters/Hatchelorette
         336164 function calls (327325 primitive calls) in 2.969 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _compat.py:56(_NonClosingTextIOWrapper)
        1    0.000    0.000    0.000    0.000 _compat.py:82(_FixupStream)
        1    0.000    0.000    0.000    0.000 _compat.py:452(_AtomicFile)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1307(__init__)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:157(py_object)
       14    0.000    0.000    0.000    0.000 __init__.py:145(_check_size)
       42    0.000    0.000    0.000    0.000 :0(sizeof)
       23    0.000    0.000    0.000    0.000 :0(calcsize)
        1    0.000    0.000    0.000    0.000 __init__.py:166(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:170(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:174(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:178(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:195(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:199(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:203(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:213(c_longlong)
        1    0.000    0.000    0.000    0.000 __init__.py:217(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:224(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:231(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:236(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:241(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:247(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:252(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:257(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:262(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:322(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:413(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:422(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:431(HRESULT)
        1    0.000    0.000    0.000    0.000 __init__.py:444(OleDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:453(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:454(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:343(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:384(_FuncPtr)
        2    0.000    0.000    0.000    0.000 __init__.py:457(__getattr__)
        2    0.000    0.000    0.000    0.000 :0(LoadLibrary)
        7    0.000    0.000    0.000    0.000 __init__.py:400(__getattr__)
        7    0.000    0.000    0.000    0.000 __init__.py:407(__getitem__)
        2    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        2    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        3    0.000    0.000    0.000    0.000 __init__.py:522(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:523(CFunctionType)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:34(_swapped_struct_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:35(_swapped_union_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:48(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _endian.py:55(BigEndianUnion)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
       24    0.000    0.000    0.000    0.000 :0(clear)
       38    0.000    0.000    0.000    0.000 :0(POINTER)
        1    0.000    0.000    0.000    0.000 wintypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 wintypes.py:20(VARIANT_BOOL)
        1    0.000    0.000    0.000    0.000 wintypes.py:97(RECT)
        1    0.000    0.000    0.000    0.000 wintypes.py:104(_SMALL_RECT)
        1    0.000    0.000    0.000    0.000 wintypes.py:111(_COORD)
        1    0.000    0.000    0.000    0.000 wintypes.py:115(POINT)
        1    0.000    0.000    0.000    0.000 wintypes.py:120(SIZE)
        1    0.000    0.000    0.000    0.000 wintypes.py:128(FILETIME)
        1    0.000    0.000    0.000    0.000 wintypes.py:133(MSG)
        1    0.000    0.000    0.000    0.000 wintypes.py:143(WIN32_FIND_DATAA)
        1    0.000    0.000    0.000    0.000 wintypes.py:155(WIN32_FIND_DATAW)
        3    0.000    0.000    0.000    0.000 __init__.py:114(WINFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:129(WinFunctionType)
        1    0.000    0.000    0.000    0.000 _winconsole.py:87(Py_buffer)
        1    0.000    0.000    0.000    0.000 _winconsole.py:118(_WindowsConsoleRawIOBase)
        1    0.000    0.000    0.000    0.000 _winconsole.py:127(_WindowsConsoleReader)
        1    0.000    0.000    0.000    0.000 _winconsole.py:162(_WindowsConsoleWriter)
        1    0.000    0.000    0.000    0.000 _winconsole.py:194(ConsoleStream)
        6    0.000    0.000    0.000    0.000 weakref.py:367(__init__)
        3    0.000    0.000    0.000    0.000 _compat.py:579(_make_cached_stream_func)
        1    0.000    0.000    0.000    0.000 globals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:141(_RLock)
        1    0.000    0.000    0.000    0.000 threading.py:269(Condition)
        1    0.000    0.000    0.000    0.000 threading.py:449(Semaphore)
        1    0.000    0.000    0.000    0.000 threading.py:536(BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 threading.py:581(Event)
        1    0.000    0.000    0.000    0.000 threading.py:674(Barrier)
        1    0.000    0.000    0.000    0.000 threading.py:837(BrokenBarrierError)
        6    0.000    0.000    0.000    0.000 threading.py:122(RLock)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:858(Thread)
        1    0.000    0.000    0.000    0.000 threading.py:1320(Timer)
        1    0.000    0.000    0.000    0.000 threading.py:1350(_MainThread)
        1    0.000    0.000    0.000    0.000 threading.py:1368(_DeleteDummyThreadOnDel)
        1    0.000    0.000    0.000    0.000 threading.py:1397(_DummyThread)
        1    0.000    0.000    0.000    0.000 threading.py:1352(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:869(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:592(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:281(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1267(_make_invoke_excepthook)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
        1    0.000    0.000    0.000    0.000 threading.py:620(set)
        1    0.000    0.000    0.000    0.000 threading.py:303(__enter__)
        1    0.000    0.000    0.000    0.000 :0(__enter__)
        1    0.000    0.000    0.000    0.000 threading.py:428(notify_all)
        1    0.000    0.000    0.000    0.000 threading.py:398(notify)
        1    0.000    0.000    0.000    0.000 threading.py:318(_is_owned)
        1    0.000    0.000    0.000    0.000 :0(acquire)
        1    0.000    0.000    0.000    0.000 threading.py:306(__exit__)
        1    0.000    0.000    0.000    0.000 :0(_get_main_thread_ident)
        1    0.000    0.000    0.000    0.000 :0(_make_thread_handle)
        1    0.000    0.000    0.000    0.000 threading.py:1024(_set_native_id)
        1    0.000    0.000    0.000    0.000 :0(get_native_id)
       68    0.000    0.000    0.000    0.000 typing.py:2696(overload)
        1    0.000    0.000    0.000    0.000 utils.py:109(LazyFile)
        1    0.000    0.000    0.000    0.000 utils.py:197(KeepOpenFile)
        1    0.000    0.000    0.000    0.000 utils.py:498(PacifyFlushWrapper)
        1    0.000    0.000    0.000    0.000 exceptions.py:26(ClickException)
        1    0.000    0.000    0.000    0.000 exceptions.py:56(UsageError)
        1    0.000    0.000    0.000    0.000 exceptions.py:95(BadParameter)
        1    0.000    0.000    0.000    0.000 exceptions.py:137(MissingParameter)
        1    0.000    0.000    0.000    0.000 exceptions.py:208(NoSuchOption)
        1    0.000    0.000    0.000    0.000 exceptions.py:242(BadOptionUsage)
        1    0.000    0.000    0.000    0.000 exceptions.py:259(BadArgumentUsage)
        1    0.000    0.000    0.000    0.000 exceptions.py:268(NoArgsIsHelpError)
        1    0.000    0.000    0.000    0.000 exceptions.py:277(FileError)
        1    0.000    0.000    0.000    0.000 exceptions.py:294(Abort)
        1    0.000    0.000    0.000    0.000 exceptions.py:298(Exit)
        1    0.000    0.000    0.000    0.000 types.py:30(ParamType)
        1    0.000    0.000    0.000    0.000 types.py:163(CompositeParamType)
        1    0.000    0.000    0.000    0.000 types.py:171(FuncParamType)
        1    0.000    0.000    0.000    0.000 types.py:195(UnprocessedParamType)
        1    0.000    0.000    0.000    0.000 types.py:207(StringParamType)
        1    0.000    0.000    0.000    0.000 types.py:233(Choice)
        1    0.000    0.000    0.000    0.000 types.py:401(DateTime)
        1    0.000    0.000    0.000    0.000 types.py:472(_NumberParamTypeBase)
        1    0.000    0.000    0.000    0.000 types.py:490(_NumberRangeBase)
        1    0.000    0.000    0.000    0.000 types.py:576(IntParamType)
        1    0.000    0.000    0.000    0.000 types.py:584(IntRange)
        1    0.000    0.000    0.000    0.000 types.py:610(FloatParamType)
        1    0.000    0.000    0.000    0.000 types.py:618(FloatRange)
        1    0.000    0.000    0.000    0.000 types.py:661(BoolParamType)
        1    0.000    0.000    0.000    0.000 types.py:686(UUIDParameterType)
        1    0.000    0.000    0.000    0.000 types.py:710(File)
        1    0.000    0.000    0.000    0.000 types.py:835(Path)
        1    0.000    0.000    0.000    0.000 types.py:1016(Tuple)
        2    0.000    0.000    0.000    0.000 typing.py:3324(<lambda>)
        1    0.000    0.000    0.000    0.000 types.py:1161(OptionHelpExtra)
        2    0.000    0.000    0.000    0.000 typing.py:3142(__new__)
        4    0.000    0.000    0.000    0.000 typing.py:3155(<genexpr>)
      153    0.000    0.000    0.000    0.000 typing.py:1023(__init__)
     1378    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
       10    0.000    0.000    0.000    0.000 typing.py:3119(_get_typeddict_qualifiers)
       15    0.000    0.000    0.000    0.000 typing.py:2528(get_origin)
       20    0.000    0.000    0.000    0.000 :0(discard)
        2    0.000    0.000    0.000    0.000 :0(isdisjoint)
        1    0.000    0.000    0.000    0.000 formatting.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parser.py:128(_Option)
        1    0.000    0.000    0.000    0.000 parser.py:182(_Argument)
        1    0.000    0.000    0.000    0.000 parser.py:214(_ParsingState)
        1    0.000    0.000    0.000    0.000 parser.py:222(_OptionParser)
        4    0.000    0.000    0.000    0.000 parser.py:502(__getattr__)
        1    0.000    0.000    0.000    0.000 formatting.py:104(HelpFormatter)
        1    0.000    0.000    0.000    0.000 termui.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:142(ParameterSource)
       10    0.000    0.000    0.000    0.000 enum.py:432(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:168(Context)
        1    0.000    0.000    0.000    0.000 core.py:843(Command)
        1    0.000    0.000    0.000    0.000 core.py:1445(_FakeSubclassCheck)
        1    0.000    0.000    0.000    0.000 core.py:1453(_BaseCommand)
        1    0.000    0.000    0.000    0.000 core.py:1460(Group)
        1    0.000    0.000    0.000    0.000 core.py:1911(_MultiCommand)
        1    0.000    0.000    0.000    0.000 core.py:1918(CommandCollection)
        1    0.000    0.000    0.000    0.000 core.py:1984(Parameter)
        1    0.000    0.000    0.000    0.000 core.py:2465(Option)
        1    0.000    0.000    0.000    0.000 core.py:3036(Argument)
       13    0.000    0.000    0.000    0.000 core.py:3114(__getattr__)
        1    0.000    0.000    0.000    0.000 decorators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:56(Error)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _colorize.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _colorize.py:13(ANSIColors)
        3    0.000    0.000    0.000    0.000 :0(dir)
        1    0.000    0.000    0.000    0.000 traceback.py:94(_Sentinel)
        1    0.000    0.000    0.000    0.000 traceback.py:276(FrameSummary)
        1    0.000    0.000    0.000    0.000 traceback.py:428(StackSummary)
        1    0.000    0.000    0.000    0.000 traceback.py:974(_ExceptionPrintContext)
        1    0.000    0.000    0.000    0.000 traceback.py:997(TracebackException)
        1    0.000    0.000    0.000    0.000 string.py:1(<module>)
        1    0.000    0.000    0.000    0.000 string.py:57(Template)
        1    0.000    0.000    0.000    0.000 string.py:69(__init_subclass__)
       57    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
        3    0.000    0.000    0.000    0.000 _parser.py:894(_parse_flags)
        4    0.000    0.000    0.000    0.000 _parser.py:294(seek)
      186    0.000    0.000    0.000    0.000 :0(unicode_iscased)
       25    0.000    0.000    0.000    0.000 :0(ascii_tolower)
       26    0.000    0.000    0.000    0.000 :0(ascii_iscased)
        1    0.000    0.000    0.000    0.000 string.py:188(Formatter)
        2    0.000    0.000    0.000    0.000 :0(time_ns)
        1    0.000    0.000    0.000    0.000 __init__.py:286(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:444(PercentStyle)
      145    0.000    0.000    0.000    0.000 :0(unicode_tolower)
        9    0.000    0.000    0.000    0.000 _compiler.py:394(_bytes_to_codes)
        9    0.000    0.000    0.000    0.000 :0(cast)
        9    0.000    0.000    0.000    0.000 :0(tolist)
        1    0.000    0.000    0.000    0.000 __init__.py:511(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:554(Formatter)
        3    0.000    0.000    0.000    0.000 __init__.py:601(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:451(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:458(validate)
        6    0.000    0.000    0.000    0.000 :0(search)
        1    0.000    0.000    0.000    0.000 __init__.py:736(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:778(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:815(Filterer)
        1    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
        1    0.000    0.000    0.000    0.000 weakref.py:289(update)
        1    0.000    0.000    0.000    0.000 __init__.py:922(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:1111(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1190(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1272(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1278(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:931(__init__)
       27    0.000    0.000    0.000    0.000 __init__.py:820(__init__)
       30    0.000    0.000    0.000    0.000 __init__.py:205(_checkLevel)
        6    0.000    0.000    0.000    0.000 __init__.py:899(_addHandlerRef)
        3    0.000    0.000    0.000    0.000 __init__.py:958(createLock)
        3    0.000    0.000    0.000    0.000 __init__.py:257(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:1296(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:1338(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1463(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1842(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1859(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:1848(__init__)
       21    0.000    0.000    0.000    0.000 __init__.py:1480(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1343(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1358(disable)
        2    0.000    0.000    0.000    0.000 :0(register)
        1    0.000    0.000    0.000    0.000 __init__.py:2277(NullHandler)
        2    0.000    0.000    0.000    0.000 error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 error.py:4(Mark)
        1    0.000    0.000    0.000    0.000 error.py:45(YAMLError)
        1    0.000    0.000    0.000    0.000 error.py:48(MarkedYAMLError)
        1    0.000    0.000    0.000    0.000 tokens.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tokens.py:2(Token)
        1    0.000    0.000    0.000    0.000 tokens.py:17(DirectiveToken)
        1    0.000    0.000    0.000    0.000 tokens.py:25(DocumentStartToken)
        1    0.000    0.000    0.000    0.000 tokens.py:28(DocumentEndToken)
        1    0.000    0.000    0.000    0.000 tokens.py:31(StreamStartToken)
        1    0.000    0.000    0.000    0.000 tokens.py:39(StreamEndToken)
        1    0.000    0.000    0.000    0.000 tokens.py:42(BlockSequenceStartToken)
        1    0.000    0.000    0.000    0.000 tokens.py:45(BlockMappingStartToken)
        1    0.000    0.000    0.000    0.000 tokens.py:48(BlockEndToken)
        1    0.000    0.000    0.000    0.000 tokens.py:51(FlowSequenceStartToken)
        1    0.000    0.000    0.000    0.000 tokens.py:54(FlowMappingStartToken)
        1    0.000    0.000    0.000    0.000 tokens.py:57(FlowSequenceEndToken)
        1    0.000    0.000    0.000    0.000 tokens.py:60(FlowMappingEndToken)
        1    0.000    0.000    0.000    0.000 tokens.py:63(KeyToken)
        1    0.000    0.000    0.000    0.000 tokens.py:66(ValueToken)
        1    0.000    0.000    0.000    0.000 tokens.py:69(BlockEntryToken)
        1    0.000    0.000    0.000    0.000 tokens.py:72(FlowEntryToken)
        1    0.000    0.000    0.000    0.000 tokens.py:75(AliasToken)
        1    0.000    0.000    0.000    0.000 tokens.py:82(AnchorToken)
        1    0.000    0.000    0.000    0.000 tokens.py:89(TagToken)
        1    0.000    0.000    0.000    0.000 tokens.py:96(ScalarToken)
        1    0.000    0.000    0.000    0.000 events.py:1(<module>)
        1    0.000    0.000    0.000    0.000 events.py:4(Event)
        1    0.000    0.000    0.000    0.000 events.py:15(NodeEvent)
        1    0.000    0.000    0.000    0.000 events.py:21(CollectionStartEvent)
        1    0.000    0.000    0.000    0.000 events.py:31(CollectionEndEvent)
        1    0.000    0.000    0.000    0.000 events.py:36(StreamStartEvent)
        1    0.000    0.000    0.000    0.000 events.py:42(StreamEndEvent)
        1    0.000    0.000    0.000    0.000 events.py:45(DocumentStartEvent)
        1    0.000    0.000    0.000    0.000 events.py:54(DocumentEndEvent)
        1    0.000    0.000    0.000    0.000 events.py:61(AliasEvent)
        1    0.000    0.000    0.000    0.000 events.py:64(ScalarEvent)
        1    0.000    0.000    0.000    0.000 events.py:75(SequenceStartEvent)
        1    0.000    0.000    0.000    0.000 events.py:78(SequenceEndEvent)
        1    0.000    0.000    0.000    0.000 events.py:81(MappingStartEvent)
        1    0.000    0.000    0.000    0.000 events.py:84(MappingEndEvent)
        1    0.000    0.000    0.000    0.000 nodes.py:2(Node)
        1    0.000    0.000    0.000    0.000 nodes.py:25(ScalarNode)
        1    0.000    0.000    0.000    0.000 nodes.py:35(CollectionNode)
        1    0.000    0.000    0.000    0.000 nodes.py:44(SequenceNode)
        1    0.000    0.000    0.000    0.000 nodes.py:47(MappingNode)
        1    0.000    0.000    0.000    0.000 reader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 reader.py:24(ReaderError)
        1    0.000    0.000    0.000    0.000 reader.py:45(Reader)
        1    0.000    0.000    0.000    0.000 scanner.py:32(ScannerError)
        1    0.000    0.000    0.000    0.000 scanner.py:35(SimpleKey)
        1    0.000    0.000    0.000    0.000 scanner.py:46(Scanner)
        1    0.000    0.000    0.000    0.000 parser.py:69(ParserError)
        1    0.000    0.000    0.000    0.000 parser.py:72(Parser)
        1    0.000    0.000    0.000    0.000 composer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 composer.py:8(ComposerError)
        1    0.000    0.000    0.000    0.000 composer.py:11(Composer)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
        4    0.000    0.000    0.000    0.000 :0(maketrans)
        1    0.000    0.000    0.000    0.000 constructor.py:16(ConstructorError)
        1    0.000    0.000    0.000    0.000 constructor.py:19(BaseConstructor)
       25    0.000    0.000    0.000    0.000 constructor.py:159(add_constructor)
       10    0.000    0.000    0.000    0.000 :0(copy)
        1    0.000    0.000    0.000    0.000 constructor.py:482(FullConstructor)
        5    0.000    0.000    0.000    0.000 constructor.py:165(add_multi_constructor)
        1    0.000    0.000    0.000    0.000 constructor.py:713(UnsafeConstructor)
        1    0.000    0.000    0.000    0.000 constructor.py:747(Constructor)
        1    0.000    0.000    0.000    0.000 resolver.py:9(ResolverError)
        1    0.000    0.000    0.000    0.000 resolver.py:12(BaseResolver)
        1    0.000    0.000    0.000    0.000 resolver.py:167(Resolver)
       24    0.000    0.000    0.000    0.000 _parser.py:165(__delitem__)
        1    0.000    0.000    0.000    0.000 loader.py:11(BaseLoader)
        1    0.000    0.000    0.000    0.000 loader.py:21(FullLoader)
        1    0.000    0.000    0.000    0.000 loader.py:31(SafeLoader)
        1    0.000    0.000    0.000    0.000 loader.py:41(Loader)
        1    0.000    0.000    0.000    0.000 loader.py:55(UnsafeLoader)
        1    0.000    0.000    0.000    0.000 dumper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 emitter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 emitter.py:14(EmitterError)
        1    0.000    0.000    0.000    0.000 emitter.py:17(ScalarAnalysis)
        1    0.000    0.000    0.000    0.000 emitter.py:31(Emitter)
        1    0.000    0.000    0.000    0.000 serializer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 serializer.py:8(SerializerError)
        1    0.000    0.000    0.000    0.000 serializer.py:11(Serializer)
        1    0.000    0.000    0.000    0.000 representer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 representer.py:10(RepresenterError)
        1    0.000    0.000    0.000    0.000 representer.py:13(BaseRepresenter)
        1    0.000    0.000    0.000    0.000 representer.py:134(SafeRepresenter)
       19    0.000    0.000    0.000    0.000 representer.py:65(add_representer)
        1    0.000    0.000    0.000    0.000 representer.py:272(Representer)
        2    0.000    0.000    0.000    0.000 representer.py:71(add_multi_representer)
        1    0.000    0.000    0.000    0.000 dumper.py:9(BaseDumper)
        1    0.000    0.000    0.000    0.000 dumper.py:27(SafeDumper)
        1    0.000    0.000    0.000    0.000 dumper.py:45(Dumper)
        1    0.000    0.000    0.000    0.000 cyaml.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cyaml.py:16(CBaseLoader)
        1    0.000    0.000    0.000    0.000 cyaml.py:23(CSafeLoader)
        1    0.000    0.000    0.000    0.000 cyaml.py:30(CFullLoader)
        1    0.000    0.000    0.000    0.000 cyaml.py:37(CUnsafeLoader)
        1    0.000    0.000    0.000    0.000 cyaml.py:44(CLoader)
        1    0.000    0.000    0.000    0.000 cyaml.py:51(CBaseDumper)
        1    0.000    0.000    0.000    0.000 cyaml.py:68(CSafeDumper)
        1    0.000    0.000    0.000    0.000 cyaml.py:85(CDumper)
        1    0.000    0.000    0.000    0.000 __init__.py:347(YAMLObjectMetaclass)
        1    0.000    0.000    0.000    0.000 __init__.py:362(YAMLObject)
        1    0.000    0.000    0.000    0.000 __init__.py:351(__init__)
        1    0.000    0.000    0.000    0.000 exceptions.py:4(CookiecutterException)
        1    0.000    0.000    0.000    0.000 exceptions.py:12(NonTemplatedInputDirException)
        1    0.000    0.000    0.000    0.000 exceptions.py:21(UnknownTemplateDirException)
        1    0.000    0.000    0.000    0.000 exceptions.py:32(MissingProjectDir)
        1    0.000    0.000    0.000    0.000 exceptions.py:43(ConfigDoesNotExistException)
        1    0.000    0.000    0.000    0.000 exceptions.py:52(InvalidConfiguration)
        1    0.000    0.000    0.000    0.000 exceptions.py:61(UnknownRepoType)
        1    0.000    0.000    0.000    0.000 exceptions.py:69(VCSNotInstalled)
        1    0.000    0.000    0.000    0.000 exceptions.py:77(ContextDecodingException)
        1    0.000    0.000    0.000    0.000 exceptions.py:85(OutputDirExistsException)
        1    0.000    0.000    0.000    0.000 exceptions.py:93(InvalidModeException)
        1    0.000    0.000    0.000    0.000 exceptions.py:102(FailedHookException)
        1    0.000    0.000    0.000    0.000 exceptions.py:110(UndefinedVariableInTemplate)
        1    0.000    0.000    0.000    0.000 exceptions.py:133(UnknownExtension)
        1    0.000    0.000    0.000    0.000 exceptions.py:141(RepositoryNotFound)
        1    0.000    0.000    0.000    0.000 exceptions.py:149(RepositoryCloneFailed)
        1    0.000    0.000    0.000    0.000 exceptions.py:157(InvalidZipRepository)
       21    0.000    0.000    0.000    0.000 __init__.py:2141(getLogger)
       21    0.000    0.000    0.000    0.000 __init__.py:1362(getLogger)
       20    0.000    0.000    0.000    0.000 __init__.py:1410(_fixupParents)
        4    0.000    0.000    0.000    0.000 __init__.py:1302(__init__)
        5    0.000    0.000    0.000    0.000 <frozen ntpath>:343(expanduser)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:815(__contains__)
       35    0.000    0.000    0.000    0.000 <frozen os>:712(__getitem__)
       35    0.000    0.000    0.000    0.000 <frozen os>:786(encodekey)
       35    0.000    0.000    0.000    0.000 <frozen os>:780(check_str)
        1    0.000    0.000    0.000    0.000 log.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shutil.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 shutil.py:67(Error)
        1    0.000    0.000    0.000    0.000 shutil.py:70(SameFileError)
        1    0.000    0.000    0.000    0.000 shutil.py:73(SpecialFileError)
        1    0.000    0.000    0.000    0.000 shutil.py:77(ExecError)
        1    0.000    0.000    0.000    0.000 shutil.py:80(ReadError)
        1    0.000    0.000    0.000    0.000 shutil.py:83(RegistryError)
        1    0.000    0.000    0.000    0.000 shutil.py:87(_GiveupOnFastCopy)
       94    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
        1    0.000    0.000    0.000    0.000 charsetgroupprober.py:1(<module>)
        1    0.000    0.000    0.000    0.000 charsetprober.py:1(<module>)
        1    0.000    0.000    0.000    0.000 enums.py:1(<module>)
        1    0.000    0.000    0.000    0.000 enums.py:10(InputState)
        1    0.000    0.000    0.000    0.000 enums.py:20(LanguageFilter)
        1    0.000    0.000    0.000    0.000 enums.py:37(ProbingState)
        1    0.000    0.000    0.000    0.000 enums.py:47(MachineState)
        1    0.000    0.000    0.000    0.000 enums.py:57(SequenceLikelihood)
        1    0.000    0.000    0.000    0.000 enums.py:73(CharacterCategory)
        1    0.000    0.000    0.000    0.000 charsetprober.py:40(CharSetProber)
        1    0.000    0.000    0.000    0.000 charsetgroupprober.py:34(CharSetGroupProber)
        1    0.000    0.000    0.000    0.000 resultdict.py:1(<module>)
        1    0.000    0.000    0.000    0.000 escprober.py:1(<module>)
        1    0.000    0.000    0.000    0.000 codingstatemachine.py:1(<module>)
        1    0.000    0.000    0.000    0.000 codingstatemachinedict.py:1(<module>)
        1    0.000    0.000    0.000    0.000 codingstatemachine.py:34(CodingStateMachine)
        1    0.000    0.000    0.000    0.000 escsm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 escprober.py:41(EscCharSetProber)
        1    0.000    0.000    0.000    0.000 latin1prober.py:1(<module>)
        1    0.000    0.000    0.000    0.000 latin1prober.py:100(Latin1Prober)
        1    0.000    0.000    0.000    0.000 macromanprober.py:1(<module>)
        1    0.000    0.000    0.000    0.000 macromanprober.py:109(MacRomanProber)
        1    0.000    0.000    0.000    0.000 chardistribution.py:1(<module>)
        1    0.000    0.000    0.000    0.000 big5freq.py:1(<module>)
